Table: StateTax,Condition,Condition,Condition,Action,Action,Action,Action,Action
,stateCode == $param,effDate >= $param,expDate <= $param,name = $param,rate = $param,feeAllowed = $param,feeTaxable = $param,maxFee = $param
Florida,FL,1/1/2015,3/31/2016,TaxNames.SURPLUS,0.05,TRUE,FALSE,
Florida,FL,1/1/2015,3/31/2016,TaxNames.FSLSO,0.00175,TRUE,FALSE,
Florida,FL,4/1/2016,10/20/2016,TaxNames.SURPLUS,0.05,TRUE,FALSE,
Florida,FL,4/1/2016,10/20/2016,TaxNames.FSLSO,0.0015,TRUE,FALSE,
Florida,FL,10/21/2016,3/31/2017,TaxNames.SURPLUS,0.05,TRUE,FALSE,
Florida,FL,10/21/2016,3/31/2017,TaxNames.FSLSO,0.0015,TRUE,FALSE,
Florida,FL,4/1/2017,12/31/9999,TaxNames.SURPLUS,0.05,TRUE,FALSE,
Florida,FL,4/1/2017,12/31/9999,TaxNames.FSLSO,0.001,TRUE,FALSE,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Table: StateFee,Condition,Condition,Condition,Action,Action,Action,Action,
,stateCode == $param,effDate >= $param,expDate <= $param,name = $param,feeAllowed = $param,feeTaxable = $param,maxFee = $param,
Florida,FL,1/1/2015,3/31/2016,FeeNames.PRODUCER_FEE,TRUE,FALSE,,
Florida,FL,1/1/2015,3/31/2016,FeeNames.CARRIER_FEE,TRUE,FALSE,,
Florida,FL,1/1/2015,3/31/2016,FeeNames.POLICY_FEE,TRUE,FALSE,,
Florida,FL,4/1/2016,10/20/2016,FeeNames.PRODUCER_FEE,TRUE,FALSE,,
Florida,FL,4/1/2016,10/20/2016,FeeNames.CARRIER_FEE,TRUE,FALSE,,
Florida,FL,4/1/2016,10/20/2016,FeeNames.POLICY_FEE,TRUE,FALSE,,
Florida,FL,10/21/2016,3/31/2017,FeeNames.PRODUCER_FEE,TRUE,FALSE,,
Florida,FL,10/21/2016,3/31/2017,FeeNames.CARRIER_FEE,TRUE,FALSE,,
Florida,FL,10/21/2016,3/31/2017,FeeNames.POLICY_FEE,TRUE,FALSE,,
Florida,FL,4/1/2017,12/31/9999,FeeNames.PRODUCER_FEE,TRUE,FALSE,35,
Florida,FL,4/1/2017,12/31/9999,FeeNames.CARRIER_FEE,TRUE,FALSE,100,
Florida,FL,4/1/2017,12/31/9999,FeeNames.POLICY_FEE,TRUE,FALSE,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Import: TaxNames,,,,,,,,
SURPLUS,Surplus Lines Premium Tax,,,,,,,
FSLSO,FSLSO Service Fee,,,,,,,
,,,,,,,,
,,,,,,,,
Import: FeeNames,,,,,,,,
PRODUCER_FEE,Producer Fee,,,,,,,
CARRIER_FEE,Carrier Fee,,,,,,,
POLICY_FEE,Policy Fee,,,,,,,
